Row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ELMOD1,65155.60827559275,-9.815697715295453e-05,0.001409262631773382,-0.200281779361194,0.8412602118133049,0.9164752181836865
ELMOD2,10835608.894220386,0.0002609961599869755,0.0014919587866596598,-0.33904272208330055,0.7345775465677334,0.850586406634828
ELMOD3,12080598.460492719,1.1949985315243652,0.28036806436802836,4.917284975932258,8.77527609193915e-07,1.2016074380438664e-05
ELN,61991018.80798857,1.6803755030967944,0.6682712915436858,0.7388298637201461,0.46001031527257386,0.6429125477598661
ELOF1,48726252.18944587,-0.6077199382546309,0.22419098432289586,-4.018088109758508,5.867225948439172e-05,0.00045131526509580277
ELOVL1,59166654.32257625,0.542057589852115,0.3286533165768693,-2.2880378394512797,0.022135317622106142,0.06485168653032009
ELOVL2,2952488.512353762,-1.9743435195807475,0.5686035817388113,0.8180551894981558,0.4133256743822582,0.5976977787592375
ELOVL3,2063312.6015605736,0.0002656454488896375,0.0015560187690214003,0.19909950997211637,0.8421849045411322,0.916941390462427
ELOVL4,1014416.0039006118,5.0007296342060324e-05,0.0015049859542763185,0.5436130752841905,0.5867077602031026,0.7489631190234713
ELOVL5,116344742.24092802,1.5982757698003434,0.42545980949098017,0.3679989828701827,0.7128739926094849,0.8375756724408188
ELOVL6,5760233.014669137,-0.909485643322946,0.6316047667385166,-1.4137485539532375,0.1574357436833309,0.30125419626512134
ELOVL7,4293991.582962057,-4.178254506434414e-05,0.0017575862627055455,2.335606276140055,0.019511771188175875,0.05856288814223845
ELP2,39479425.05844822,0.635404745269372,0.3899031339368021,-0.8495646175743653,0.39556719050137434,0.5809858915538165
ELP3,14314995.448083168,-0.2948524732479692,0.2725819423074562,-0.51724786282319,0.6049831443029925,0.7622586627139863
ELP4,10047363.489944462,-6.585878711270147e-05,0.0014635563688022901,0.32113550874591995,0.7481077021531302,0.8590133746933487
ELSPBP1,6430.629994978304,9.982885822873566e-08,0.0016466602667271648,0.23324973584066946,0.8155674871136933,0.9015730944888934
ELTD1,22002856.95603782,2.676967521527275,0.45526217202595337,4.233777039451576,2.2979878187229223e-05,0.0002020060649587642
EMB,12604392.029840704,-0.7265779281394485,1.0114578304233295,-1.6230002608314615,0.10458934910986556,0.22109056689860257
EMBP1,780526.5583890735,-4.224941735022379e-05,0.0012502469385925468,-1.8594733218582051,0.06296007730609335,0.14925354171571983
EMCN,12720101.01143897,2.601847938674963,0.42563341991117487,5.193099717815766,2.068213343604009e-07,3.472309485491063e-06
EMD,55985016.64314196,0.6851815356582696,0.35350017763570657,-3.0582129285057817,0.0022266130206451324,0.00981095587810401
EME1,1182231.7547943953,-0.0002798500241629068,0.0011628640490283088,-6.6076609277234954,3.90439666296028e-11,1.7871029381023799e-09
EME2,753173.237914367,-0.4151287032434572,0.44663661510839103,-3.3901537853125916,0.0006985342566738878,0.0037246976006126108
EMG1,32564060.21272288,-0.3970547432153755,0.3372074786394337,-2.2540818617618066,0.024191018522825198,0.06974869011509117
EMID1,3942384.9426341937,-0.604427726139329,1.3325978277516046,-3.154334793277974,0.0016086442771132575,0.007503709017643611
EMID2,128920.72226045674,-3.894964412273193e-05,0.0010539013990048514,0.23108816716434094,0.8172463075898423,0.9026089136252657
EMILIN1,15278300.390380776,2.192147605895411e-05,0.0013195334440514047,-1.0932677072393129,0.2742762770101965,0.4520120719440175
EMILIN2,7465253.699895449,2.2602350996052682,0.5469328819011726,3.7796870159534874,0.0001570256158225499,0.001035043460223251
EMILIN3,631426.7024650433,6.4407378351783285e-06,0.0018085488059806092,1.3913824887225639,0.16410947185663904,0.31055483946282636
EML1,6024548.987485906,-0.0004115744525622477,0.0018398238310068991,1.9241481521770432,0.054336015868656634,0.13275177931871876
EML2,15216540.733268544,0.40816896480857306,0.6157662900041674,-3.095320074496058,0.001966006131343267,0.00886843889973455
EML3,13074898.321515502,0.6042865627505501,0.3794740592259268,0.9251066128895234,0.3549104535901775,0.5401353072983296
EML4,13450533.724144569,6.307884590098464e-05,0.0014321168864400021,-0.21001931102226234,0.8336526011265061,0.911647903955756
EML5,716561.8079280935,0.00011510627728102317,0.001674542346181303,2.525080798737895,0.011567169117539074,0.0382058379033118
EML6,183576.6089321497,0.721939016064145,0.3534542163613104,3.0923835415543475,0.0019855612507650652,0.008941762053381777
EMP1,179060814.70149878,3.473753400517424,0.32984442512837286,5.462567462926675,4.692970950602731e-08,9.438382296297425e-07
EMP2,46514609.29947061,0.7726743010093376,0.41281796695857564,-1.3992296124493346,0.16174413924839715,0.3073883892862974
EMP3,48706941.10138347,1.8991219991052373,0.46519101987667194,2.2431279531419963,0.024888564573837434,0.07129529733196108
EMR1,361553.4862932529,2.3676508481918773e-05,0.0013124928327634107,-1.132433668666652,0.2574521566021347,0.43226886725560415
EMR2,1217520.5148900882,6.202161194578031e-05,0.0015918275176670864,1.4539701315067166,0.14595458729974073,0.28467109239341476
EMR3,74527.5309171594,5.198027546317682e-05,0.0021476917491760005,1.3824857892223106,0.1668225908839439,0.3143446176198386
EMR4P,123094.59221074241,-4.738859496207034e-05,0.001684461608200025,1.2653315958075604,0.20575248488253417,0.36755767556376095
EMX1,188502.08488290265,-1.7555476843491513,1.06460101922316,-2.8645036989506414,0.004176632766583275,0.016505403461473576
EMX2,1198889.0827035694,3.8943045265616935e-05,0.0018506766945172845,1.8509244723908587,0.06418041951375052,0.1513674347177161
EMX2OS,1053818.4434441007,2.944638693308949,0.5476802331243694,5.81335010571954,6.123480423080577e-09,1.5649876922429037e-07
EN1,5564656.295687725,0.0001144849502930728,0.0010981017063776027,-3.3477560382568172,0.000814686938772921,0.004252229345209952
EN2,55286.15940131195,-2.736462781118268e-06,0.0012997188045533925,2.2505685466645557,0.02441287744013159,0.07025483618882314
ENAH,20747991.02347012,0.4069444174122103,0.823142014971417,-3.620967499419861,0.00029350338703077616,0.0017748932043734694
ENAM,13034.222873084298,7.555274955814537e-07,0.0027532585574487345,1.4973733122403394,0.13429614848929788,0.26674083596928394
ENC1,12896414.609512895,3.177334858495612e-05,0.0013604518344474815,-1.198063452669192,0.2308923155102245,0.39981931639291346
ENDOD1,19596085.01359825,0.0004299811837960739,0.0016869590256955594,0.5648558409056296,0.5721718217132513,0.7373656037345893
ENDOG,2526179.194214183,-0.354504052543862,0.4224565049889358,-2.5327909184917896,0.011315842659989977,0.03753792238775301
